status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,system_updated
en-route,A359,88812D,A359,VN-A892,VN,HVN,SGN,VVTS,SYD,YSSY,VN772,HVN772,772,12192.0,316.0,-1.9461,121.353,924.148,2025-11-08 06:49:05+00:00
en-route,A359,888124,A359,VN-A891,VN,HVN,SGN,VVTS,MEL,YMML,VN780,HVN780,780,13106.4,327.0,1.0895,118.742,894.516,2025-11-08 06:49:29+00:00
en-route,B789,8880DF,B789,VN-A861,VN,HVN,LHR,EGLL,SGN,VVTS,VN51,HVN51,51,12192.0,291.0,47.5333,17.5747,924.148,2025-11-08 06:49:30+00:00
landed,B78X,888188,B78X,VN-A873,VN,HVN,SGN,VVTS,ICN,RKSI,VN409,HVN409,409,0.0,160.0,10.8119,106.652,0.0,2025-11-08 06:45:42+00:00
en-route,A321,88812C,A321,VN-A398,VN,HVN,ICN,RKSI,SGN,VVTS,VN402,HVN402,402,10668.0,4.0,34.1864,126.764,818.584,2025-11-08 06:49:27+00:00
en-route,A359,888153,A359,VN-A897,VN,HVN,ICN,RKSI,HAN,VVNB,VN414,HVN414,414,12504.4,74.0,31.0589,122.956,1026.01,2025-11-08 06:49:05+00:00
en-route,A359,8880E6,A359,VN-A888,VN,HVN,HAN,VVNB,SYD,YSSY,VN786,HVN786,786,11582.4,320.0,-24.4741,140.374,751.912,2025-11-08 06:48:57+00:00
en-route,A321,88809D,A321,VN-A390,VN,HVN,TBB,VVTH,HAN,VVNB,VN1651,HVN1651,1651,6118.86,174.0,13.9431,109.045,663.016,2025-11-08 06:49:30+00:00
en-route,B78X,888189,B78X,VN-A874,VN,HVN,SGN,VVTS,HAN,VVNB,VN251,HVN251,251,5257.8,210.0,11.3455,107.581,666.72,2025-11-08 06:49:30+00:00
en-route,A21N,888185,A21N,VN-A507,VN,HVN,HAN,VVNB,BKK,VTBS,VN610,HVN610,610,10287.0,24.0,17.5223,102.71,874.144,2025-11-08 06:49:29+00:00
en-route,A20N,8881B5,A20N,VN-A513,VN,HVN,DLI,VVDL,HAN,VVNB,VN1575,HVN1575,1575,2080.26,176.0,11.787,108.159,372.252,2025-11-08 06:45:06+00:00
en-route,A321,8880C5,A321,VN-A609,VN,HVN,SGN,VVTS,SIN,WSSS,VN650,HVN650,650,5334.0,2.0,9.8405,106.736,738.948,2025-11-08 06:49:29+00:00
en-route,A321,8880B3,A321,VN-A604,VN,HVN,SGN,VVTS,DAD,VVDN,VN123,HVN123,123,2446.02,237.0,11.0767,107.123,507.448,2025-11-08 06:49:29+00:00
en-route,A321,8880ED,A321,VN-A613,VN,HVN,HAN,VVNB,SGN,VVTS,VN212,HVN212,212,8526.78,334.0,19.6291,106.048,894.516,2025-11-08 06:49:29+00:00
en-route,A21N,88816D,A21N,VN-A622,VN,HVN,CAN,ZGGG,HAN,VVNB,VN506,HVN506,506,8054.34,83.0,22.7701,110.544,835.252,2025-11-08 06:49:14+00:00
en-route,A321,88809E,A321,VN-A392,VN,HVN,BKK,VTBS,HAN,VVNB,VN615,HVN615,615,10355.6,217.0,17.3651,102.262,822.288,2025-11-08 06:49:30+00:00
en-route,A321,8880A1,A321,VN-A393,VN,HVN,PQC,VVPQ,SGN,VVTS,VN1827,HVN1827,1827,3970.02,255.0,10.2514,104.908,737.096,2025-11-08 06:49:30+00:00
en-route,A359,8880E4,A359,VN-A886,VN,HVN,HAN,VVNB,SGN,VVTS,VN248,HVN248,248,10812.8,18.0,12.7583,107.637,911.184,2025-11-08 06:49:29+00:00
en-route,A321,888053,A321,VN-A357,VN,HVN,LPQ,VLLB,HAN,VVNB,VN931,HVN931,931,7467.6,249.0,20.4324,103.59,820.436,2025-11-08 06:49:31+00:00
en-route,A21N,888164,A21N,VN-A616,VN,HVN,HAN,VVNB,CXR,VVCR,VN7550,HVN7550,7550,3002.28,355.0,20.7395,105.659,633.384,2025-11-08 06:49:30+00:00
en-route,B789,8880E3,B789,VN-A865,VN,HVN,SGN,VVTS,NRT,RJAA,VN307,HVN307,307,1607.82,247.0,10.9529,106.984,451.888,2025-11-08 06:49:31+00:00
en-route,A321,88809C,A321,VN-A339,VN,HVN,SGN,VVTS,HUI,VVPB,VN1371,HVN1371,1371,9761.22,181.0,13.4473,108.141,846.364,2025-11-08 06:49:30+00:00
en-route,A321,88808A,A321,VN-A323,VN,HVN,BMV,VVBM,DAD,VVDN,VN1911,HVN1911,1911,7216.14,181.0,13.8738,108.151,766.728,2025-11-08 06:49:29+00:00
en-route,A321,8880D5,A321,VN-A612,VN,HVN,DAD,VVDN,HAN,VVNB,VN171,HVN171,171,8656.32,155.0,17.3,107.598,840.808,2025-11-08 06:49:31+00:00
landed,A321,888090,A321,VN-A331,VN,HVN,DPS,WADD,SGN,VVTS,VN641,HVN641,641,0.0,267.0,-8.7466,115.172,25.928,2025-11-08 06:43:09+00:00
en-route,A321,8880B5,A321,VN-A606,VN,HVN,SGN,VVTS,HAN,VVNB,VN233,HVN233,233,9753.6,155.0,17.6258,107.444,827.844,2025-11-08 06:49:29+00:00
started,A321,88814F,A321,VN-A637,VJ,VJC,SGN,VVTS,DAD,VVDN,VJ635,VJC635,635,0.0,171.0,16.0311,108.204,46.3,2025-11-08 06:49:31+00:00
en-route,A320,8880F4,A320,VN-A663,VJ,VJC,SGN,VVTS,THD,VVTX,VJ251,VJC251,251,10599.4,148.0,17.6457,106.772,825.992,2025-11-08 06:49:30+00:00
en-route,A321,888151,A321,VN-A639,VJ,VJC,HAN,VVNB,SGN,VVTS,VJ198,VJC198,198,10675.6,3.0,13.6543,107.767,888.96,2025-11-08 06:49:30+00:00
en-route,A21N,8881D7,A21N,VN-A526,VJ,VJC,SGN,VVTS,NRT,RJAA,VJ823,VJC823,823,8084.82,240.0,11.4349,108.166,872.292,2025-11-08 06:49:30+00:00
en-route,A333,8881DB,A333,VN-A814,VJ,VJC,SGN,VVTS,SYD,YSSY,VJ86,VJC86,86,11582.4,317.0,-7.0061,125.83,905.628,2025-11-08 06:48:36+00:00
en-route,A321,88813E,A321,VN-A635,VJ,VJC,SGN,VVTS,TBB,VVTH,VJ207,VJC207,207,4495.8,224.0,11.0897,107.465,648.2,2025-11-08 06:49:29+00:00
landed,A333,8881DD,A333,VN-A816,VJ,VJC,SGN,VVTS,HAN,VVNB,VJ129,VJC129,129,0.0,185.0,10.8143,106.66,25.928,2025-11-08 06:43:10+00:00
en-route,A21N,8881F0,A21N,VN-A545,VJ,VJC,SGN,VVTS,ICN,RKSI,VJ863,VJC863,863,9144.0,242.0,13.1329,111.393,916.74,2025-11-08 06:49:28+00:00
en-route,A321,8881A7,A321,VN-A522,VJ,VJC,DPS,WADD,HAN,VVNB,VJ997,VJC997,997,10972.8,180.0,-0.7588,114.835,835.252,2025-11-08 06:49:30+00:00
en-route,A321,8880E9,A321,VN-A651,VJ,VJC,HAN,VVNB,DPS,WADD,VJ900,VJC900,900,10675.6,339.0,3.532,114.277,892.664,2025-11-08 06:49:31+00:00
en-route,A321,888128,A321,VN-A677,VJ,VJC,BKK,VTBS,HAN,VVNB,VJ901,VJC901,901,7924.8,182.0,14.9456,100.651,748.208,2025-11-08 06:49:29+00:00
landed,A320,885964,A320,HS-VKD,VJ,VJC,BKK,VTBS,URT,VTSB,VZ351,TVJ351,351,0.0,14.0,13.6893,100.758,0.0,2025-11-08 06:49:22+00:00
en-route,A321,888156,A321,VN-A648,VJ,VJC,SGN,VVTS,KHH,RCKH,VJ885,VJC885,885,9151.62,241.0,12.5849,110.34,872.292,2025-11-08 06:49:28+00:00
en-route,A333,8881C7,A333,VN-A812,VJ,VJC,MEL,YMML,SGN,VVTS,VJ81,VJC81,81,11277.6,137.0,0.8694,119.192,813.028,2025-11-08 06:49:29+00:00
en-route,A21N,8881EF,A21N,VN-A543,VJ,VJC,HKG,VHHH,PQC,VVPQ,VJ986,VJC986,986,10058.4,42.0,18.6971,112.266,850.068,2025-11-08 06:49:23+00:00
en-route,A320,88811B,A320,VN-A671,VJ,VJC,SGN,VVTS,SIN,WSSS,VJ812,VJC812,812,1036.32,289.0,10.8734,106.851,344.472,2025-11-08 06:49:29+00:00
en-route,A320,8880B0,A320,VN-A699,VJ,VJC,SGN,VVTS,KUL,WMKK,VJ826,VJC826,826,10668.0,41.0,7.176,103.841,811.176,2025-11-08 06:49:29+00:00
en-route,A21N,88815E,A21N,VN-A697,VJ,VJC,ICN,RKSI,SGN,VVTS,VJ860,VJC860,860,10050.8,55.0,17.8288,111.126,833.4,2025-11-08 06:49:20+00:00
en-route,A333,8881DE,A333,VN-A817,VJ,VJC,SGN,VVTS,HAN,VVNB,VJ133,VJC133,133,426.72,249.0,10.8488,106.727,264.836,2025-11-08 06:49:30+00:00
started,A321,88596C,A321,HS-VKL,VJ,VJC,BKK,VTBS,HDY,VTSS,VZ325,TVJ325,325,0.0,149.0,6.9346,100.396,16.668,2025-11-08 06:49:30+00:00
en-route,A320,88596F,A320,HS-VKO,VJ,VJC,BKK,VTBS,DAD,VVDN,VZ961,TVJ961,961,8168.64,257.0,15.7617,107.158,861.18,2025-11-08 06:49:29+00:00
en-route,A21N,88815B,A21N,VN-A674,VJ,VJC,SGN,VVTS,DPS,WADD,VJ894,VJC894,894,10675.6,345.0,-4.2218,115.02,894.516,2025-11-08 06:49:04+00:00
en-route,A321,88813B,A321,VN-A632,VJ,VJC,VCA,VVCT,DAD,VVDN,VJ703,VJC703,703,8724.9,168.0,14.3022,108.244,857.476,2025-11-08 06:49:29+00:00
en-route,A321,888175,A321,VN-A670,VJ,VJC,SIN,WSSS,DAD,VVDN,VJ973,VJC973,973,9745.98,207.0,7.6238,105.874,903.776,2025-11-08 06:49:28+00:00
en-route,A320,88811C,A320,VN-A672,VJ,VJC,SGN,VVTS,CGK,WIII,VJ854,VJC854,854,137.16,249.0,-6.1181,106.646,287.06,2025-11-08 06:49:06+00:00
landed,A21N,88817C,A21N,VN-A607,VJ,VJC,SGN,VVTS,HAN,VVNB,VJ137,VJC137,137,0.0,185.0,10.8145,106.658,27.78,2025-11-08 06:49:31+00:00
en-route,A333,888201,A333,VN-A820,VJ,VJC,HAN,VVNB,SGN,VVTS,VJ144,VJC144,144,4427.22,357.0,20.4571,105.641,701.908,2025-11-08 06:49:31+00:00
en-route,A21N,888158,A21N,VN-A653,VJ,VJC,SGN,VVTS,PER,YPPH,VJ92,VJC92,92,10668.0,1.0,-2.0821,114.793,870.44,2025-11-08 06:49:04+00:00
en-route,A321,888134,A321,VN-A631,VJ,VJC,HAN,VVNB,DAD,VVDN,VJ508,VJC508,508,9441.18,334.0,19.1402,106.295,918.592,2025-11-08 06:49:30+00:00
en-route,A321,88813D,A321,VN-A634,VJ,VJC,CXR,VVCR,PUS,RKPK,VJ919,VJC919,919,3573.78,234.0,12.0833,109.72,679.684,2025-11-08 06:49:29+00:00
landed,A320,8880AF,A320,VN-A689,VJ,VJC,SGN,VVTS,UIH,VVPC,VJ387,VJC387,387,0.0,67.0,10.8138,106.648,40.744,2025-11-08 06:49:31+00:00
en-route,A21N,8881F5,A21N,VN-A550,VJ,VJC,HAN,VVNB,TPE,RCTP,VJ941,VJC941,941,9174.48,298.0,21.3709,110.053,898.22,2025-11-08 06:49:05+00:00
en-route,A321,888135,A321,VN-A640,VJ,VJC,HAN,VVNB,KUL,WMKK,VJ906,VJC906,906,10668.0,1.0,17.767,106.088,866.736,2025-11-08 06:49:31+00:00
en-route,A21N,8881AE,A21N,VN-A534,VJ,VJC,DAD,VVDN,HPH,VVCI,VJ721,VJC721,721,251.46,351.0,15.9945,108.205,275.948,2025-11-08 06:49:31+00:00
en-route,A320,885962,A320,HS-VKB,VJ,VJC,BKK,VTBS,TPE,RCTP,VZ571,TVJ571,571,6065.52,215.0,24.6997,120.486,774.136,2025-11-08 06:49:16+00:00
started,A320,885974,A320,HS-VKT,VJ,VJC,CNX,VTCC,HKT,VTSP,VZ417,TVJ417,417,0.0,84.0,8.1131,98.3301,0.0,2025-11-08 06:49:05+00:00
landed,A21N,88815C,A21N,VN-A693,VJ,VJC,SGN,VVTS,NGO,RJGG,VJ857,VJC857,857,0.0,149.0,10.8112,106.661,11.112,2025-11-08 06:46:03+00:00
en-route,A321,88811A,A321,VN-A667,VJ,VJC,PQC,VVPQ,HAN,VVNB,VJ441,VJC441,441,9753.6,191.0,14.2637,105.548,883.404,2025-11-08 06:49:30+00:00
en-route,A321,88596D,A321,HS-VKM,VJ,VJC,BKK,VTBS,ICN,RKSI,VZ851,TVJ851,851,11582.4,230.0,18.896,112.445,857.476,2025-11-08 06:49:20+00:00
en-route,AT75,88805E,AT75,VN-B219,0V,VFC,VCA,VVCT,PQC,VVPQ,0V8074,VFC8074,8074,182.88,237.0,10.1024,105.742,148.16,2025-11-08 06:46:05+00:00
en-route,A320,682308,A320,JU-1410,QH,BAV,SGN,VVTS,HAN,VVNB,QH251,BAV251,251,9753.6,159.0,19.3304,106.685,814.88,2025-11-08 06:49:30+00:00
en-route,A321,8881E0,A321,VN-A227,QH,BAV,HAN,VVNB,SGN,VVTS,QH262,BAV262,262,6530.34,32.0,11.6484,107.197,781.544,2025-11-08 06:49:29+00:00
